"No.","Time","Source","Destination","Protocol","Length","Info"
"164","6.773386734","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"165","6.773478368","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"170","6.776183681","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"171","6.776305141","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"176","6.778768225","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=1) [Deviceb'Device - 1']"
"177","6.779113569","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"180","6.781291543","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=1)"
"182","6.781571524","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"198","7.785566016","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"200","7.788460087","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=2) [Deviceb'Device - 1']"
"201","7.788832923","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"204","7.790910958","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=2)"
"206","7.791826261","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"221","8.796071476","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"223","8.798940690","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=3) [Deviceb'Device - 1']"
"224","8.799296894","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"227","8.801383847","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3)"
"229","8.802073102","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"241","9.806575270","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"243","9.809385712","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=4) [Deviceb'Device - 1']"
"244","9.809730916","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"247","9.811849818","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=4)"
"249","9.812710418","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"261","10.817297873","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"263","10.828648818","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=5) [Deviceb'Device - 1']"
"264","10.829029539","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"267","10.840241110","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=5)"
"269","10.840782856","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"307","11.844974240","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"309","11.847869413","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=6) [Deviceb'Device - 1']"
"311","11.852269655","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"313","11.854673898","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=6)"
"315","11.855230081","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"323","12.859586314","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"325","12.862449597","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=7) [Deviceb'Device - 1']"
"326","12.862855766","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"329","12.866109557","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=7)"
"331","12.866679146","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"347","13.873114272","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"349","13.876836801","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=8) [Deviceb'Device - 1']"
"350","13.877244844","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"353","13.879569386","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=8)"
"355","13.880116813","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"367","14.883887098","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"369","14.886790286","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=9) [Deviceb'Device - 1']"
"370","14.887201394","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"373","14.889667534","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=9)"
"375","14.890248765","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"391","15.894646817","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"393","15.897503396","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=10) [Deviceb'Device - 1']"
"394","15.897894497","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"397","15.900285615","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=10)"
