"No.","Time","Source","Destination","Protocol","Length","Info"
"1693","35.201705107","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"1694","35.201894955","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"1699","35.204415051","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"1700","35.204649964","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"1705","35.206724430","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=1) [Deviceb'Device - 1']"
"1706","35.207298433","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"1709","35.209773373","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=1)"
"1711","35.210241778","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"1963","36.214275392","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"1965","36.218996973","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=2) [Deviceb'Device - 1']"
"1966","36.219243598","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"1969","36.221905823","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=2)"
"1971","36.222370239","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"1996","37.226100371","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"1998","37.229132825","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3) [Deviceb'Device - 1']"
"1999","37.229585850","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2002","37.231916809","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3)"
"2004","37.232896157","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2324","38.237446909","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2326","38.240397007","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=4) [Deviceb'Device - 1']"
"2327","38.240857406","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2330","38.243278795","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=4)"
"2332","38.244083825","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2386","39.247880004","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2388","39.250771080","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=5) [Deviceb'Device - 1']"
"2389","39.251244734","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2392","39.253692744","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=5)"
"2394","39.254287096","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2446","40.257894680","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2448","40.260820632","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=6) [Deviceb'Device - 1']"
"2450","40.265134954","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2452","40.267401282","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=6)"
"2454","40.268035499","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2466","41.272383540","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2468","41.275274606","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=7) [Deviceb'Device - 1']"
"2469","41.275755684","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2472","41.278212711","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=7)"
"2474","41.279024944","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2482","42.282784156","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2484","42.285691212","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=8) [Deviceb'Device - 1']"
"2485","42.286168493","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2488","42.288660105","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=8)"
"2490","42.289361980","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2531","43.293817927","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2534","43.296801418","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=9) [Deviceb'Device - 1']"
"2535","43.297298806","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2538","43.299611291","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=9)"
"2540","43.300323645","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2559","44.304270331","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2561","44.307195171","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=10) [Deviceb'Device - 1']"
"2562","44.307647164","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2565","44.310040681","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=10)"
"2567","44.310844759","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2579","45.315353016","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2581","45.318463446","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=11) [Deviceb'Device - 1']"
"2583","45.322673963","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2585","45.326779912","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=11)"
"2587","45.327613896","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2600","46.331443153","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2602","46.334324421","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=12) [Deviceb'Device - 1']"
"2603","46.334794097","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2606","46.337264870","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=12)"
"2608","46.338201538","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2620","47.342875490","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2622","47.345788808","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=13) [Deviceb'Device - 1']"
"2623","47.346268203","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2626","47.348699101","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=13)"
"2628","47.349316947","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2646","48.354022900","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2648","48.356936970","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=14) [Deviceb'Device - 1']"
"2649","48.357471959","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2652","48.359616557","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=14)"
"2654","48.360337096","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2671","49.364147239","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2673","49.367085385","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=15) [Deviceb'Device - 1']"
"2674","49.367562445","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2677","49.369991199","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=15)"
"2679","49.370750873","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2691","50.375436258","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2693","50.378353213","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=16) [Deviceb'Device - 1']"
"2694","50.379332271","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2697","50.381261282","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=16)"
"2699","50.382311885","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2711","51.386836648","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2713","51.389775435","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=17) [Deviceb'Device - 1']"
"2714","51.390257815","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2717","51.392550963","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=17)"
"2719","51.393547403","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2729","52.397919630","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2731","52.400822949","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=18) [Deviceb'Device - 1']"
