"No.","Time","Source","Destination","Protocol","Length","Info"
"2655","13.086279703","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2656","13.086414638","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2661","13.089032002","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2662","13.089284649","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2667","13.091416667","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=1) [Deviceb'Device - 2']"
"2668","13.091873009","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2671","13.094316785","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=1)"
"2673","13.094756285","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2685","14.098085132","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2687","14.101079278","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=2) [Deviceb'Device - 2']"
"2688","14.101536883","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2691","14.103963587","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=2)"
"2693","14.104349175","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2709","15.107728041","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2711","15.110691169","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=3) [Deviceb'Device - 2']"
"2712","15.111178890","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2715","15.113950255","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3)"
"2717","15.114272504","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2729","16.118379178","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2731","16.122623145","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=4) [Deviceb'Device - 2']"
"2732","16.122979188","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2735","16.125457980","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=4)"
"2737","16.125822188","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2765","17.129437848","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2767","17.132463623","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=5) [Deviceb'Device - 2']"
"2768","17.132942819","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2771","17.135337392","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=5)"
"2773","17.136104411","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2789","18.140313034","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2791","18.143137781","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=6) [Deviceb'Device - 2']"
"2793","18.147600060","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2795","18.150028227","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=6)"
"2797","18.150400580","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2813","19.154186637","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2815","19.157175673","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=7) [Deviceb'Device - 2']"
"2816","19.157650970","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2819","19.159944213","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=7)"
"2821","19.160646990","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"2833","20.164897411","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"2835","20.167872841","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=8) [Deviceb'Device - 2']"
"2836","20.168340925","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"2839","20.170829577","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=8)"
"2841","20.171253027","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"3053","21.178878256","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
