Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,Device - 1,102,0,4,4.784313725490196,2,58,6.0,0.994211515260457,0.0,4,5,5,5,6,7,7,9,58,58,58
MQTT,Device - 10,101,0,4,4.366336633663367,2,50,6.0,0.9844643435422173,0.0,4,4,5,5,6,6,8,9,50,50,50
MQTT,Device - 2,102,0,3,4.186274509803922,2,54,6.0,0.994211515260457,0.0,3,4,4,5,6,6,7,8,54,54,54
MQTT,Device - 3,102,0,3,3.9705882352941178,2,50,6.0,0.994211515260457,0.0,3,4,4,4,5,6,7,8,50,50,50
MQTT,Device - 4,102,0,3,4.235294117647059,2,50,6.0,0.994211515260457,0.0,3,4,4,5,5,7,9,10,50,50,50
MQTT,Device - 5,102,0,3,4.049019607843137,2,54,6.0,0.994211515260457,0.0,3,4,4,4,5,6,7,7,54,54,54
MQTT,Device - 6,101,0,5,5.079207920792079,2,56,6.0,0.9844643435422173,0.0,5,5,5,5,6,7,7,27,56,56,56
MQTT,Device - 7,101,0,3,4.514851485148514,2,50,6.0,0.9844643435422173,0.0,3,4,5,5,6,7,16,23,50,50,50
MQTT,Device - 8,102,0,3,3.3333333333333335,2,7,6.0,0.994211515260457,0.0,3,3,4,4,4,5,6,7,7,7,7
MQTT,Device - 9,101,0,4,4.99009900990099,2,56,6.0,0.9844643435422173,0.0,4,5,5,5,6,6,8,27,56,56,56
,Aggregated,1016,0,4,4.349409448818897,2,58,6.0,9.903126465731612,0.0,4,4,5,5,6,6,8,27,56,58,58
