"No.","Time","Source","Destination","Protocol","Length","Topic","Message Identifier","Source Port","Destination Port","Info"
"284","34.387541215","192.168.15.4","192.168.15.3","MQTT","90","","","45295","1883","Connect Command"
"285","34.389139502","192.168.15.4","192.168.15.3","MQTT","90","","","53853","1883","Connect Command"
"287","34.389832881","192.168.15.4","192.168.15.3","MQTT","90","","","51817","1883","Connect Command"
"288","34.390308028","192.168.15.4","192.168.15.3","MQTT","90","","","50551","1883","Connect Command"
"289","34.390400472","192.168.15.3","192.168.15.4","MQTT","70","","","1883","45295","Connect Ack"
"291","34.390752046","192.168.15.4","192.168.15.3","MQTT","90","","","41481","1883","Connect Command"
"295","34.392053904","192.168.15.3","192.168.15.4","MQTT","70","","","1883","53853","Connect Ack"
"297","34.392077548","192.168.15.3","192.168.15.4","MQTT","70","","","1883","51817","Connect Ack"
"299","34.392424784","192.168.15.3","192.168.15.4","MQTT","70","","","1883","50551","Connect Ack"
"301","34.392624671","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 1'","1","45295","1883","Publish Message (id=1) [Deviceb'Device - 1']"
"303","34.393568884","192.168.15.3","192.168.15.4","MQTT","70","","","1883","41481","Connect Ack"
"305","34.393844855","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 4'","1","53853","1883","Publish Message (id=1) [Deviceb'Device - 4']"
"306","34.394398099","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 3'","1","51817","1883","Publish Message (id=1) [Deviceb'Device - 3']"
"307","34.394968406","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 2'","1","50551","1883","Publish Message (id=1) [Deviceb'Device - 2']"
"310","34.395348162","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","45295","Publish Ack (id=1)"
"311","34.395357690","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","53853","Publish Ack (id=1)"
"312","34.396338933","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 5'","1","41481","1883","Publish Message (id=1) [Deviceb'Device - 5']"
"315","34.397158941","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","51817","Publish Ack (id=1)"
"316","34.397171344","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","50551","Publish Ack (id=1)"
"318","34.399197269","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","41481","Publish Ack (id=1)"
"331","35.399264785","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 4'","2","53853","1883","Publish Message (id=2) [Deviceb'Device - 4']"
"332","35.399492354","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 1'","2","45295","1883","Publish Message (id=2) [Deviceb'Device - 1']"
"333","35.401272014","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 3'","2","51817","1883","Publish Message (id=2) [Deviceb'Device - 3']"
"334","35.401459308","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 2'","2","50551","1883","Publish Message (id=2) [Deviceb'Device - 2']"
"335","35.402558152","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 5'","2","41481","1883","Publish Message (id=2) [Deviceb'Device - 5']"
"338","35.403088744","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","53853","Publish Ack (id=2)"
"340","35.403088774","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","45295","Publish Ack (id=2)"
"345","35.404451436","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","51817","Publish Ack (id=2)"
"347","35.404462127","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","50551","Publish Ack (id=2)"
"349","35.404860839","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","41481","Publish Ack (id=2)"
"355","36.406134722","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 4'","3","53853","1883","Publish Message (id=3) [Deviceb'Device - 4']"
"356","36.406374455","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 1'","3","45295","1883","Publish Message (id=3) [Deviceb'Device - 1']"
"359","36.408905693","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 2'","3","50551","1883","Publish Message (id=3) [Deviceb'Device - 2']"
"360","36.409024237","192.168.15.3","192.168.15.4","MQTT","70","","3","1883","53853","Publish Ack (id=3)"
"362","36.409048072","192.168.15.3","192.168.15.4","MQTT","70","","3","1883","45295","Publish Ack (id=3)"
"364","36.409143953","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 5'","3","41481","1883","Publish Message (id=3) [Deviceb'Device - 5']"
"365","36.409339742","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 3'","3","51817","1883","Publish Message (id=3) [Deviceb'Device - 3']"
"368","36.411466317","192.168.15.3","192.168.15.4","MQTT","70","","3","1883","50551","Publish Ack (id=3)"
"370","36.411818251","192.168.15.3","192.168.15.4","MQTT","70","","3","1883","41481","Publish Ack (id=3)"
"372","36.411839081","192.168.15.3","192.168.15.4","MQTT","70","","3","1883","51817","Publish Ack (id=3)"
"378","37.411270463","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 1'","4","45295","1883","Publish Message (id=4) [Deviceb'Device - 1']"
"379","37.412436374","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 4'","4","53853","1883","Publish Message (id=4) [Deviceb'Device - 4']"
"380","37.414114392","192.168.15.3","192.168.15.4","MQTT","70","","4","1883","45295","Publish Ack (id=4)"
"381","37.414125473","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 2'","4","50551","1883","Publish Message (id=4) [Deviceb'Device - 2']"
"383","37.414337002","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 5'","4","41481","1883","Publish Message (id=4) [Deviceb'Device - 5']"
"384","37.414505570","192.168.15.3","192.168.15.4","MQTT","70","","4","1883","53853","Publish Ack (id=4)"
"386","37.415199220","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 3'","4","51817","1883","Publish Message (id=4) [Deviceb'Device - 3']"
"387","37.416882357","192.168.15.3","192.168.15.4","MQTT","70","","4","1883","50551","Publish Ack (id=4)"
"389","37.417353827","192.168.15.3","192.168.15.4","MQTT","70","","4","1883","41481","Publish Ack (id=4)"
"391","37.417375548","192.168.15.3","192.168.15.4","MQTT","70","","4","1883","51817","Publish Ack (id=4)"
"397","38.418726624","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 4'","5","53853","1883","Publish Message (id=5) [Deviceb'Device - 4']"
"398","38.418967820","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 1'","5","45295","1883","Publish Message (id=5) [Deviceb'Device - 1']"
"399","38.421399049","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 2'","5","50551","1883","Publish Message (id=5) [Deviceb'Device - 2']"
"400","38.421546437","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 3'","5","51817","1883","Publish Message (id=5) [Deviceb'Device - 3']"
"401","38.421553100","192.168.15.3","192.168.15.4","MQTT","70","","5","1883","53853","Publish Ack (id=5)"
"403","38.421676423","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 5'","5","41481","1883","Publish Message (id=5) [Deviceb'Device - 5']"
"404","38.422004793","192.168.15.3","192.168.15.4","MQTT","70","","5","1883","45295","Publish Ack (id=5)"
"406","38.424165311","192.168.15.3","192.168.15.4","MQTT","70","","5","1883","50551","Publish Ack (id=5)"
